id,population,pop_density,pct_immigrants,bachelor_above,median_earnings,employment,employ_rate_15plus,employ_rate_25_54,pop_density_cuberoot,population_cuberoot
1001,248418,26.9,2.4,19.1,38465,66890,53.9,73,2.996291714,62.86289154
1002,22298,3.7,0.6,6.9,32818,3005,40.9,58.7,1.546680374,28.14634265
1003,17686,0.9,0.5,6.7,35988,2360,37,54.7,0.965489385,26.05412787
1004,21168,3,0.9,10,33020,3020,34.6,51.3,1.44224957,27.66261775
1005,40805,3.9,1.6,13.4,34935,9305,46.8,68.5,1.574060917,34.42741865
1006,36208,2.2,1.3,11.8,36203,8130,45.8,66.1,1.300591447,33.08274308
1007,35501,3.7,0.7,7.7,31766,5310,39.5,59.1,1.546680374,32.86600085
1008,38937,4.2,0.5,5.8,30029,4245,37.6,55.6,1.613428646,33.89384422
1009,18084,1.3,0.8,7.6,32435,2075,37.3,54.7,1.091392883,26.24811778
1010,23950,0.1,1.7,10.3,50429,6830,57.8,70.8,0.464158883,28.82494624
1011,2414,0,0.6,9.7,39808,410,38.5,51.5,0,13.41464205
1101,18608,11,3,11.3,32039,3690,59.7,79.5,2.223980091,26.49922865
1102,72744,36,4.6,22.9,35332,21710,62.5,82,3.301927249,41.74448037
1103,44499,22.5,2.1,11.1,32541,10730,58.1,79.1,2.823108087,35.43643986
1201,15544,6.3,3,6.3,29080,2765,51.1,71,1.84691475,24.95672513
1202,26277,12.4,2.9,10.4,32640,5690,54.4,75.5,2.314589055,29.72979585
1203,18992,7.6,3.2,10.3,28736,4175,51.2,75.6,1.966095145,26.68027084
1204,11212,4.7,2.6,9,33816,2295,45.6,68.8,1.675068684,22.38176662
1205,21438,6.7,6.5,12.7,30633,4730,49.4,75,1.885203631,27.77973438
1206,47150,16.2,4.5,13.9,34802,12120,53.7,77.6,2.530297996,36.1266118
1207,60035,28.3,4.4,17.2,34135,16565,57.4,78.9,3.047395429,39.15628717
1208,41182,13.5,3.8,12.3,36146,12170,58.6,79.3,2.381101578,34.53311949
1209,372858,67.8,7.4,29.1,40247,125110,64.5,82.7,4.07764955,71.9749141
1210,50023,13.8,3.9,15.1,33030,14250,57.2,78.6,2.398610307,36.84596297
1211,32046,7.5,3.1,11.4,31378,7975,50.8,75,1.957433821,31.76322635
1212,46513,16.3,2.8,13.1,35300,12460,54.8,77.1,2.535493694,35.96318252
1213,9058,2.2,1.7,8.8,34016,1425,46.5,71,1.300591447,20.84542587
1214,18836,12.9,4.3,25.7,36996,5020,59.5,78.7,2.345290099,26.60701946
1215,19036,5,3.3,13.3,37401,3795,50.9,74.1,1.709975947,26.70085892
1216,9740,7.8,2.4,10.5,32599,1765,43.9,66.6,1.983192483,21.35598722
1217,105928,42.9,1.7,14.6,33173,21565,44.5,66.6,3.50068014,47.31551711
1218,7594,2.6,4.2,16.8,34951,1180,45.3,62.4,1.375068867,19.65577615
1301,74621,51,4.1,14.1,34017,21750,56.4,76.8,3.708429769,42.1004775
1302,26898,7.9,7,11.6,34785,6405,52.8,72,1.991631701,29.96217455
1303,25542,9.5,4,10.4,40333,8305,65.3,81.4,2.117911792,29.44997747
1304,11708,3.2,4.7,7.9,32510,2710,47.4,73.2,1.473612599,22.70705985
