state,state-abbr,lung_bronch_death,pm25,income
Alabama,AL,73.43333333,12.23,33694.33333
Alaska,AK,67.66666667,5.36,48951
Arizona,AZ,53.43333333,11.2,34072.33333
Arkansas,AR,76.86666667,11.57,32319
California,CA,48.56666667,10.3,43786.33333
Colorado,CO,46.9,13.57,40904.33333
Connecticut,CT,63.83333333,10.8,62136.33333
Delaware,DE,72.93333333,12.09,42039.66667
District of Columbia,DC,59.4,12.71,62546.66667
Florida,FL,64.73333333,11.41,38721.66667
Georgia,GA,68.5,12.25,35223.33333
Hawaii,HI,47.13333333,4.8,42018.66667
Idaho,ID,52.2,10.68,32153
Illinois,IL,70.06666667,12.68,42137
Indiana,IN,76.13333333,13.46,35473.66667
Iowa,IA,66.13333333,11.57,38722
Kansas,KS,63.4,11.18,40308.33333
Kentucky,KY,98.36666667,13.1,33276.66667
Louisiana,LA,72.86666667,11.02,37219.33333
Maine,ME,74.43333333,10.73,37805
Maryland,MD,60.66666667,12.61,50270.33333
Massachusetts,MA,67.83333333,10.86,53234.33333
Michigan,MI,69.8,11.9,35522.66667
Minnesota,MN,55.3,13.05,42493.66667
Mississippi,MS,77.1,11.82,30709.33333
Missouri,MO,76.53333333,10.41,37091.66667
Montana,MT,59.8,11.48,35853
Nebraska,NE,58,12.94,41536
New Hampshire,NH,69.76666667,10.84,47486
New Jersey,NJ,60.13333333,11.45,51823
New Mexico,NM,42.96666667,10.39,33453.66667
New York,NY,63,11.85,48615
Nevada,NV,62.85,13.15,37025.66667
North Carolina,NC,72.2,12.25,35881.66667
North Dakota,ND,56.66666667,10.88,44131.33333
Ohio,OH,72.8,13.36,36926.33333
Oklahoma,OK,72.3,10.37,36428.66667
Oregon,OR,61.43333333,9.04,36162.66667
Pennsylvania,PA,67.7,12.86,42238.66667
Rhode Island,RI,68.9,10.67,42675
South Carolina,SC,70.4,12.36,32533
South Dakota,SD,58.16666667,11.86,41740.66667
Tennessee,TN,78.3,13.16,35913.33333
Texas,TX,57.63333333,9.89,38466.33333
Utah,UT,29.16666667,12.38,32334.33333
Vermont,VT,70.33333333,11.05,41523.66667
Virginia,VA,63.66666667,12.49,45705.33333
Washington,WA,62.13333333,11.14,42745.33333
West Virginia,WV,82.7,12.82,32498
Wisconsin,WI,62.3,12.2,39119.66667
Wyoming,WY,50.13333333,12.23,46158.66667
